,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scrape_date
100,Merchandiser,Nilkamal,1-6 Yrs,Not disclosed,Mumbai (All Areas)(Marol), This Role includes but would be not limited to: Improve top line for your category.(Kit...,merchandising,,1 Day Ago,2023-03-05
101,Merchandiser - Women Indian,Fabindia,5-10 Yrs,Not disclosed,Jaipur, Job Title: Merchandiser (WI). . Role in the organization: Merchandiser for Women Indian...,product development,sampling quality management vendor quality control merchandising control,1 Day Ago,2023-03-05
102,Hiring For- Project manager/Merchandiser,TYA Business Solutions Pvt Ltd,3-5 Yrs,Not disclosed,Bangalore/Bengaluru," Requirements . . Bachelors degree in Textile, Fashion, Designing Must inspect all sampl...",sampling,technical services fabric fashion designing fashion packaging buyer communication trimming,1 Day Ago,2023-03-05
103,Merchandiser,Multiplier Brand Solutions,1-4 Yrs,Not disclosed,Vijayawada," Managing, training, and providing overall guidance to the sales team of an assigned ter...",training,management monitoring branding sales merchandising brand awareness,1 Day Ago,2023-03-05
104,Merchandiser,Multiplier Brand Solutions,1-4 Yrs,Not disclosed,Hyderabad/Secunderabad," Managing, training, and providing overall guidance to the sales team of an assigned ter...",training,outbound awareness brand awareness monitoring brand branding training management,1 Day Ago,2023-03-05
105,Merchandiser,ETE Clothings,0-1 Yrs,2-2.5 Lacs PA,New Delhi, Roles and Responsibilities Basic understanding of fabric types Any college pass out can...,merchandising,,3 Days Ago,2023-03-05
106,Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai, Plan and develop merchandising strategies that balance customers expectations and compa...,forecasting,monitoring inventory maintenance sales merchandising stores merchandising strategies,3 Days Ago,2023-03-05
107,Merchandiser,Ford Global Business Services,1-4 Yrs,Not disclosed,Chennai, Control the availability of a specific range of parts stocked in European Source locati...,sap,monitoring supply chain management merchandising supervision supply,8 Days Ago,2023-03-05
108,Merchandiser,PGS Partner India,4-6 Yrs,Not disclosed,Gurgaon/Gurugram, Anticipate issues /delays and provide timely solution to customer. . . . Desired Candid...,Apparel Merchandising,Fashion Designing Merchandising Buying House buying design fashion apparel,4 Days Ago,2023-03-05
109,Merchandiser,tex India,2-5 Yrs,3-4 Lacs PA,Panipat, Candidate should be fluent in English both in Speaking and writing Should be capable of...,merchandising,,5 Days Ago,2023-03-05
110,Merchandiser,Golden Opportunities,4-7 Yrs,Not disclosed,Chennai, Needs to have good communication skills problem solving skills and a keenness to learnC...,merchandising,textile communication skills,2 Days Ago,2023-03-05
111,Merchandiser,Boom Business Consulting Solutions,5-10 Yrs,Not disclosed,Karur, Overseeing the planning and implementation of merchandising strategies. Creating eye-ca...,pdf,monitoring crm san sms merchandising i18n business development,3 Days Ago,2023-03-05
112,Merchandiser,10 Am Hr Source,6-9 Yrs,3-7 Lacs PA,Loni, Experienced Merchandiser cum designer (both Male & Female) For Export house at Tronica ...,Denim,merchandising apparel merchandising apparel industry retail apparel retail merchandising,4 Days Ago,2023-03-05
113,Merchandiser For ROW (Rest of the World) - Thane,Indo Count Industries,3-8 Yrs,5-7 Lacs PA,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)"," Merchandising, Sheeting experience, Excel proficiency, Basic understanding of SAP",Merchandising,buying row costing rest sampling merchandiser,9 Days Ago,2023-03-05
114,Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai," . Liaise closely with merchandising, operations, and customer service teams to improve ...",uat,software testing customer experience cms stock customer service management project development,11 Days Ago,2023-03-05
115,Jewel Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai," . Liaise closely with merchandising, operations, and customer service teams to improve ...",customer service,uat management e-commerce project cms merchandising customer experience,11 Days Ago,2023-03-05
116,Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai," E nsure that products appear in the right store or website, at the right time and in th...",sales,monitoring project forecasting merchandising project sales statistics,11 Days Ago,2023-03-05
117,Website Merchandiser,Acme Services,1-5 Yrs,Not disclosed,Mumbai, Update content on the website in terms of product links and uploads including words and...,merchandising,monitoring web technologies sales,11 Days Ago,2023-03-05
118,Site Merchandiser,Acme Services,2-6 Yrs,Not disclosed,Mumbai," Coordinate & manage resources to provide a smooth jounrey on CLP, PLP & PDP pages by pl...",management,site site management program marketing research usage software testing,11 Days Ago,2023-03-05
119,Merchandiser,Haren Textiles,3-8 Yrs,4-8 Lacs PA,"Tarapur, Mumbai Suburban, Boisar", HAREN TEXTILES PVT LTDDOC. NO.: JD/PPC/02JOB DESCRIPTIONREVIEW DATE 25.01.2020 DEPARTME...,PPC,Production Planning Control production textile production planning planning merchandising control plan,10 Days Ago,2023-03-05
120,Security Analyst/Requirements Engineer(Automotive),URS Systems,5-10 Yrs,27.5-42.5 Lacs PA,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)", ISO 21434 . . . Notice Period must not be more than 6 weeks 5+ years of experience .,security analysis,Embedded Systems Automotive Ethernet automotive security system requirements requirement engineering,3 Days Ago,2023-03-05
121,DGM/Manager- Operations(Security),BOMBAY INTELLIGENCE SECURITY (BIS),5-10 Yrs,6-8 Lacs PA,Mumbai (All Areas), Job descriptionDESIGNATION: DGM/Manager- OperationsJOB LOCATION: Mumbai(Powai)QUALIFICA...,management,dgm operations security management branch management security marketing security operations,1 Day Ago,2023-03-05
122,Security Executive,Indigo,0-4 Yrs,Not disclosed,"Rajahmundry, Kadapa/Cuddapah, Vijayawada, Kurnool", Please share your CV at Arunkumar.Elumalai@GOAGILE.IN Job Description :The responsibili...,Communication Skills,administration security,3 Days Ago,2023-03-05
123,Officer/ Executive - Security,Agile Airport Services,0-4 Yrs,Not disclosed,Chennai, Maintain performance standards and follow up with your shift . . Monitor continuously t...,catering,customer service cost control sm manual security ticketing administration,9 Days Ago,2023-03-05
124,Security Officer,Steel Strips Wheels,4-6 Yrs,3.75-5.5 Lacs PA,Chandigarh," Responsible for physical security of the plant premises in, men, material, machinery, g...",physical security,security physical loss prevention asset protection asset emergency response prevention,2 Days Ago,2023-03-05
125,SAP S/4 HANA Security Consultant,Bosch Global Software Technologies,5-8 Yrs,15-25 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Coimbatore, Bangalore/Bengaluru", Hands-on working knowledge of SAP roles and authorizations in both end user and project...,sap fiori,S4Hana sap bi security sap hana s security sap s hana sap,12 Days Ago,2023-03-05
126,AM- Security & Admin,Jubilant Pharmova Limited,5-10 Yrs,Not disclosed,Gajraula, Responsible for smooth and efficient functioning of Security department and to ensure p...,ams,management training training and development security event management development monitoring,1 Day Ago,2023-03-05
127,Security Supervisor,Novartis,7-15 Yrs,Not disclosed,Mumbai, Setting up policies for car park and traffic management . . Security team Workforce pla...,management,asset physical security services hse security management prevention workforce,1 Day Ago,2023-03-05
128,"Information Security Analyst, Associate",Deutsche Bank,1-4 Yrs,Not disclosed,Bangalore/Bengaluru," . Education / Certification . . . . CSO Governance, Risk and Control . . conducts proac...",management,corporate security operations hp data protector information security security operations iso data,8 Days Ago,2023-03-05
129,Package Specialist SAP security,Artech,5-6 Yrs,3-8 Lacs PA,Bangalore/Bengaluru," Total Years of Experience-5 YRS Relevant years of Experience- 4 YRSsap security "" Detai...",sap security,security sap saps packaging,2 Days Ago,2023-03-05
130,Security Consultant - Cloud,Bio Rad,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . Bachelors dree in Information Security or related fieldQualifications . . . . . . Fiv...,security,cisa information security security consulting networking monitoring analytics information technology,2 Days Ago,2023-03-05
131,SAP Security Consultant - Support & Implementation,Prime Infosoft,6-9 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Support night shift on rotation basis Hands-on experience of SAP security for USER ADMI...,SAP ECC,SAP Security SAP Integration SAP BW SAP Support bw sap implementation ecc,3 Days Ago,2023-03-05
132,Security Consultant - Pentester,Bio Rad,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . Bachelors degree in Information Security or related field or equivalent work experien...,soc,security consulting networking penetration testing automation process consulting security,2 Days Ago,2023-03-05
133,DH Gen Admin / Security,Ultratech Cement Limited,10-12 Yrs,Not disclosed,Bharatpur," Liaison with law enforcement authorities, Road Transport officers maintaining good repo...",training,monitoring gen security data mining law gen administration administration,1 Day Ago,2023-03-05
134,Security Cum Admin Officer ( Very Urgent),Mittal Electronics,5-10 Yrs,Not disclosed,Delhi / NCR(Jahangir Puri)," Handling of Factory Security, as well as control Supervision of employees working in th...",security,Cctv Monitoring Security Management monitoring administration management cctv security operations,5 Days Ago,2023-03-05
135,ForgeRock Access Management Security Specialist,Accenture,4-6 Yrs,Not disclosed,Bangalore/Bengaluru," Professional Attributes : 1 Quick learner, team player and self-starter2 Good Articulat...",Access management,Consulting sailpoint J2Ee Troubleshooting security management access,4 Days Ago,2023-03-05
136,Package Specialist: SAP HANA Security,IBM,12-16 Yrs,Not disclosed,Bangalore/Bengaluru," . . . . . . . Proficient to design, develop and maintain the company s SAP user managem...",SAP,Production support Coding Consulting SQL application unit testing sap hana,5 Days Ago,2023-03-05
137,Package Specialist: SAP Security,IBM,12-16 Yrs,Not disclosed,Bangalore/Bengaluru," . . . . . . . Proficient to design, develop and maintain the company s SAP user managem...",SAP,Production support Coding Consulting SQL software testing production saps,5 Days Ago,2023-03-05
138,Package Consultant: SAP HANA Security,IBM,12-16 Yrs,Not disclosed,Bangalore/Bengaluru," . . . . . . . Proficient to design, develop and maintain the company s SAP user managem...",SAP,Coding Application security Unit testing SQL process software testing usage,5 Days Ago,2023-03-05
139,Package Specialist: SAP Security,IBM,12-17 Yrs,Not disclosed,Bangalore/Bengaluru, The IBM SAP Practice is seeking top talent with experience in implementing SAP Advanced...,SAP,Production support Coding Consulting SQL application business process ariba,5 Days Ago,2023-03-05
140,Assistant Manager - HR (Field Level Recruitment),Muthoot Microfin,0-2 Yrs,2.5-4 Lacs PA,"Bellary/Ballari, Hospet/Hosapete", . Post Graduation - MBA / PGDM in HR Full Time. . Sound Knowledge in MS Excel. Minimum ...,NBFC,recruitment Mass Hiring Bulk Hiring human resource management management screening recruitment management,1 Day Ago,2023-03-05
141,HR Executive and Recruiter,Indusind Bank,0-2 Yrs,Not disclosed,"New Delhi, Gurgaon/Gurugram", We are looking for freshers and those with upto 2 years of total experience who will be...,HR Executive,recruitment onboarding acquisition hiring hrsd selection volume hiring,4 Days Ago,2023-03-05
142,"Urgent Opening For HR Recruiter - Birla Open Minds, Mumbai",Birla Open Minds Education,0-2 Yrs,1-2.5 Lacs PA,"Mumbai(Churchgate), Mumbai Suburban, Mumbai (All Areas)", Graduate in any field * FRESHERS ARE ALSO WELCOME *. . . Proven work experience as an H...,full cycle recruitment,recruitment negotiation end to end recruitment full life cycle recruiting open education management,1 Day Ago,2023-03-05
143,Walk in || Hr Executive And Recruiter - Females Only,Cita Training Academy,0-5 Yrs,Not disclosed,"New Delhi, Delhi / NCR"," We Are looking "" HR Executive and Recruiter "" for a AVIATION cum Immigration Company ba...",HR Executive,recruitment Recruitment Consulting mass onboarding bulk talent acquisition counselling,3 Days Ago,2023-03-05
144,Hr Executive And Recruiter,Kross International,05 Mar,Not disclosed,Solapur," Greetings to All, There is a requirement of Female HR Executive:- Position:- HR Executi...",HR Generalist Activities,Communication Skills Client Coordination Mail Drafting letter drafting management email coordination,1 Day Ago,2023-03-05
145,HR Executive / HR Recruiter  (Female),Beta Education,0-5 Yrs,1.5-3.5 Lacs PA,"Hyderabad/Secunderabad, Vidyanagar, Ramnagar", Qualification: Any post graduation / Graduation. Experience: 0 to 7 yrs or Freshers als...,HR Executive,screening calling office administration hrsd recruitment sourcing senior,1 Day Ago,2023-03-05
146,Urgent Requirement For HR Recruiter/ HR Executive at Mulund location,M. M. K. Enterprises,03 Mar - 12 Mar,Not disclosed,"Mumbai, Mumbai Suburban, Thane", Working Days: Alternative Saturdays Off (5th Saturday Half Day). . Education: Any Gradu...,Recruitment,screening mass hiring job posting gas oil post hrsd,1 Day Ago,2023-03-05
147,HR Recruiter / Executive- Only Female,Swagatham Resource Management India,04 Mar - 13 Mar,2-5 Lacs PA,Chennai, Only Female,Recruitment,assistance administration selection office assistance office hrsd hrm,1 Day Ago,2023-03-05
148,HR Recruiter | HR Executive Generalist | HR Fresher,ASA Hr Management,0-5 Yrs,1.75-4.5 Lacs PA,"Mumbai, Navi Mumbai, Pune"," Training and Development, Appraisals Fresher in HR Generalist profile can apply. . HR P...",talent acquisition,hr mba staffing it recruitment bulk sourcing non it recruitment hr generalist activities,4 Days Ago,2023-03-05
149,HR - Intern in Pune,Podar Education Network,0-1 Yrs,Not disclosed,"Pune, wakad", Urgently Looking for HR Intern (2 Months). Any Graduate can Apply. . . Good Communicati...,Selection,Job Analysis HR Recruitment Training campus hiring bulk analysis,1 Day Ago,2023-03-05
150,Human Resources Executive,Marriott,0-3 Yrs,Not disclosed,Bangalore/Bengaluru," Respond to questions, requests, and concerns from employees and management rarding comp...",monitoring,recruitment management counselling employee relations resource logistics training,2 Days Ago,2023-03-05
151,Executive | Human Resource | Ludhiana,Lavya Associates HR Services,0-3 Yrs,1.5-3.5 Lacs PA,Ludhiana, . Best opportunity for FRESHERS / Experienced who want to start their career in HR (Hum...,Graduation,HR human resource management management screening sales resource management information technology,9 Days Ago,2023-03-05
152,Executive | Human Resource | Ludhiana,Lavya Associates HR Services,0-3 Yrs,1.5-3.5 Lacs PA,Ludhiana, . Best opportunity for FRESHERS / Experienced who want to start their career in HR (Hum...,Graduation,HR acquisition information technology technology sourcing computer management,9 Days Ago,2023-03-05
153,HR Executive,R.S Brothers,0-3 Yrs,1.5-2.5 Lacs PA,Hyderabad/Secunderabad, Gender: MaleCandidates with 0 to 5 years of experience in the field of HR are encourage...,hr administration,operations hr operations administration hrsd,1 Day Ago,2023-03-05
154,HR Executive,Post A Resume,0-3 Yrs,Not disclosed,Ahmedabad," Skills for Qualification: . . MBA/ PGDM degree in Human Resources or related field, or ...",management,software microsoft wordpress tally c++ hrsd recruitment,4 Days Ago,2023-03-05
155,HR Compliances Executive,Lupin,1-2 Yrs,Not disclosed,Pune," 1) Good knowledge of PF, ESIC and other legal compliance . . 2) And knowledge of legal ...",HR operations,PF ESIC Legal compliances FNF hr compliance hrsd legal,1 Day Ago,2023-03-05
156,Hr Recruiter,Infedis Infotech,0-1 Yrs,Not disclosed,Pune, Required Candidate Profile: . . Any Graduate Fresher can also apply Experience:0- 1-yea...,recruitment,interview scheduling communication skills administration acquisition posting sourcing interview coordination,4 Days Ago,2023-03-05
157,HR Executive - Payroll,Voltech HR Services (VHRS),0-2 Yrs,Not disclosed,Chennai, Freshers can also apply . . . . WITH ATTRACTIVE SALARY PACKAGES & BENEFITS. . . . VENUE...,Payroll,Hindi Speaking acquisition hr strategy talent acquisition hrsd policies hr policies,3 Days Ago,2023-03-05
158,HR Recruiter,Varun Beverages Limited,0-1 Yrs,Not disclosed,"Dharwad, Bangalore/Bengaluru", Bachelors degree in Human Resources or related field Experience in hiring sales profile...,Sourcing Profiles,Mass Hiring Recruitment volume screening volume hiring interviewing hiring,5 Days Ago,2023-03-05
159,HR Executive and Recruiter,Trichur Sundaram Santhanam & Family,0-3 Yrs,1-2.5 Lacs PA,Hyderabad/Secunderabad, Roles and Responsibilities HR Activities and Recruitment & Statutory knowledge with rep...,Human Resource Management,HR Administration Recruitment management resource management hr generalist activities administration resource,Today,2023-03-05
160,Hotel Manager,Marriott,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad," . 2-year degree from an accredited university in Business Administration, Hotel and Res...",hotel management,management housekeeping front office front service delivery event management business strategy,1 Day Ago,2023-03-05
161,Hotel Manager,BNB Hospitality Services,5-10 Yrs,3-3.5 Lacs PA,Bangalore/Bengaluru, The manager should know how to do marketing and promotion of hotel room and restaurant ...,hotel,hms software hotel management hospitality management Knowledge of Hospitality and HMS Software,1 Day Ago,2023-03-05
162,Hotel Manager,Marriott,2-5 Yrs,Not disclosed,Mumbai," 2-year dree from an accredited university in Business Administration, Hotel and Restaur...",prevention,office management front office loss prevention operations management delivery hotel,2 Days Ago,2023-03-05
163,F&B Stores Manager - Hotels,Dolphin Hotels,7-10 Yrs,Not disclosed,Hyderabad/Secunderabad(Ramoji Film city), Desired Candidate Profile . . Graduate with minimum work experience for 7 years in a gr...,material management,LIFO store management FIFO Food & Beverage store management materials beverage management,7 Days Ago,2023-03-05
164,Hotel Manager,Disanka,5-8 Yrs,12-15 Lacs PA,Kinshasa, Desired Candidate Profile . . Should be experienced in Hotel Management field with atle...,hotel management,french hotel management,5 Days Ago,2023-03-05
165,Hotel Manager,APR Paradise,1-4 Yrs,Not disclosed,Tadpatri, Manage and Supervise activities and staff in Hotel. Reception and customer serviceMust ...,Hotel Management,handling customer service management customer service management guest relations hospitality guest handling,1 Day Ago,2023-03-05
166,Hiring For Hotel and Restaurant Manager | 2,Wes India,10-20 Yrs,37.5-60 Lacs PA,Canada, Coordinate daily Front of the House and Back of the House restaurant operations Deliver...,Hotel Manager,Restaurant Management restaurant operations hotel management hotel front office operations office operations hotel sales,3 Days Ago,2023-03-05
167,Hiring For Hotel and Restaurant Manager,Wes India,2-7 Yrs,37.5-60 Lacs PA,Canada, Coordinate daily Front of the House and Back of the House restaurant operations Deliver...,Hotel Manager,Restaurant Management restaurant operations contracts hotel business development operations shift management,3 Days Ago,2023-03-05
168,Restaurant Manager Min 5-10 Exp in three-five  Star Hotel Industry,Vishwakarma Consultancy,5-10 Yrs,3.5-6 Lacs PA,Bhopal, Restaurant Manager Min 5-10 Exp in three Star Hotel Industry Location- Bhopal,Restaurant,Hospitality Restaurant Manager Restaurant Management f&B Manager hotel f# hotel management,12 Days Ago,2023-03-05
169,Room Attendant & House Keeping Associate,Hotel Industry,0-4 Yrs,2-3 Lacs PA,"Chengalpattu, Chennai", Roles and Responsibilities . . Should know the bed making & Housekeeping in Star Hotels...,room attendant,Bed Making housekeeping bed hotel room hospitality,4 Days Ago,2023-03-05
170,Restaurant Manager - For 5 star Hotel in Mumbai,OASIS,5-10 Yrs,10-13 Lacs PA,"Mumbai Suburban, Mumbai (All Areas)", Required Skills / Abilities: . . Strong supervisory and leadership skillsCandidates fro...,operations management,Hotel Management hotel restaurant management F B Operations restaurant customer experience cost control,28 Days Ago,2023-03-05
171,Hotel Manager I-B,Marriott,2-5 Yrs,Not disclosed,Panaji/Panjim," 2-year degree from an accredited university in Business Administration, Hotel and Resta...",hotel management,management housekeeping front office front service delivery event management business strategy,30+ Days Ago,2023-03-05
172,Front Office Associate & Guest Relation Executive (GRE),Hotel Industry,0-4 Yrs,2-4 Lacs PA,"Chengalpattu, Chennai", Desired Candidate Profile . . FOA - Fresher - 2 years Experience in Front Office. . GRE...,Receptionist Activities,Front Office Operations GRE office management guest relations operations desk management,4 Days Ago,2023-03-05
173,Hotel Manager,ESAKKI PALACE,1-6 Yrs,2.5-3.5 Lacs PA,Chennai, BOOKING ROOMS CHECK IN/OUT GUEST MANAGING HOTEL CLEANLINESS MANAGING HOTEL STAFFS ACCOU...,Hospitality,management hotel hotel management,12 Days Ago,2023-03-05
174,Hotel Manager,D'source,1-1 Yrs,Not disclosed,Pune, Organize and supervise shiftsSkills: . . Good Communication. .,supervision,complaints product quality management research productivity hotel management consultancy,30+ Days Ago,2023-03-05
175,Revenue & OTA Manager - For hotel in South GOA,4 Star Resort in South Goa,4-8 Yrs,4-8 Lacs PA,"South Goa, Margao, goa", Candidate should be able to handle following Roles and responsibility for our all 3 hot...,revenue management,hotel yield management cash flow marketing channel cash revenue,20 Days Ago,2023-03-05
176,Hotel Manager,Marriott,8-13 Yrs,Not disclosed,Sriperumbudur, CANDIDATE PROFILE . . . . Education and Experience . . 2-year degree from an accredited...,management,housekeeping hotel management operations loss prevention administration delivery business administration,30+ Days Ago,2023-03-05
177,Hotel Manager,Marriott,8-13 Yrs,Not disclosed,Gorakhpur, CANDIDATE PROFILE . . . . Education and Experience . . 2-year degree from an accredited...,management,housekeeping hotel management operations loss prevention administration delivery business administration,30+ Days Ago,2023-03-05
178,Hotel Manager,Hotel Buddha International,1-3 Yrs,1.25-2 Lacs PA,Patna, Determining the future goals of the hospitality division by studying market trends and ...,Managerial Skills,Soft Spoken management media social media hotel management fluent english finance,24 Days Ago,2023-03-05
179,Hotel Manager,Red Apple Hotel,5-5 Yrs,Not disclosed,Sangrur, Hotel ManagerExperience of 5+ years in the Hotel Industry Accommodation provided.,Management Skills,Guest Handling Leadership Skills management guest handling hotel management leadership,30 Days Ago,2023-03-05
180,Senior Client Server Software Analyst,Total System Services (TSYS),5-8 Yrs,Not disclosed,Pune, What Part Will You Play Contribute to Test Framework and maintain existing frameworks P...,server,serv unix software testing e-business oracle e-business suite oracle client server,30+ Days Ago,2023-03-05
181,IT Software - Client Server,Nityo Infotech,7-9 Yrs,Not disclosed,"Rajahmundry, Tirupati, Anantapur, Vijayawada, Guntur, Kurnool, Chennai, Vizianagaram, Mahabubnagar/Mahaboobnagar, Nandyal, East Godavari, Kadapa/Cuddapah, Medak, Ongole, Hindupur, West Godavari, Pune, Srikakulam, Prakasam, Adoni, Chittoor, Nellore, Bangalore/Bengaluru", . . . . . Good knowledge on DRM and LANFREE . . . . . . . . Hand on experience SQL and ...,software,microsoft windows aix cloud computing computation technology lan administration,29 Days Ago,2023-03-05
182,Client Server Technology |Leading Software Co Hyderabad,Hindco Recruitment Consultants,6-11 Yrs,Not disclosed,"Karimnagar, Hyderabad/Secunderabad, Bangalore/Bengaluru, Karwar", Interacting with temporary and local storage. Sending data requests to a server. Interf...,Client Server,client service management client management co technology software installation client servicing,1 Day Ago,2023-03-05
183,Client Server Analyst,Placement Madad,0-1 Yrs,Not disclosed,Gurgaon, Candidate have to maintain the client server line,server,sql serv bmc remedy client server client bmc remedy,30+ Days Ago,2023-03-05
184,"Technical Lead - Backend (Client Server, Databases, NoSQL, SQL)",Mstack,4-6 Yrs,Not disclosed,Kochi, This is a hands-on lead role with below responsibilities Manage a team of 3 to 5 Develo...,sql,core xml application development nosql soa technical leadership sql server,30+ Days Ago,2023-03-05
185,"Technical Lead - Backend (Client Server, Databases, NoSQL, SQL)",Mstack,4-6 Yrs,Not disclosed,Kochi," Technical Lead - Backend (Client Server, Databases, NoSQL, SQL) - Kochi Location : Koch...",client,technical leadership program enterprise applications sql application enterprise mysql,30+ Days Ago,2023-03-05
186,Windows VMWare Server Admin,Tech Mahindra,4-8 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"," Candidate should have experience in Windows , VMWare, SSCM (Patching tool) , Storages &...",Storage,Backup server administration vmware server SSCM vmware server serv,3 Days Ago,2023-03-05
187,Full Stack Developer - React.js/Node.js,Fidelity IT,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Delhi / NCR, Bangalore/Bengaluru", Minimum 4 years of related experience as a Developer using React and able to demonstrat...,Node.js,React.js javascript full stack stack mongodb postgresql development,4 Days Ago,2023-03-05
188,Java Full Stack Developer/ Lead/ Architect,Wipro,4-9 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Exp Range- 4-14 yearsLocation- PAN IndiaJava Full Stack + Angular:Hands on with Core Ja...,java,Angular Microservices architecture full stack stack development leadership,5 Days Ago,2023-03-05
189,Full Stack Developer - Client Journey,Deutsche Bank,2-7 Yrs,Not disclosed,Pune, Experience with Agile / SCRUM environmentYour skills and experience Knowledge and exper...,http,weblogic eclipse javascript apache tomcat xml agile xslt,1 Day Ago,2023-03-05
190,Senior Full Stack Developer,Fractal Analytics,6-10 Yrs,15-22.5 Lacs PA,"Hybrid - Mumbai, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru"," 10 years of demonstrable experience designing, building, and working as a Fullstack Eng...",Java,Django React.Js Python CSS Javascript HTML,9 Days Ago,2023-03-05
191,Full Stack Developer,Tata Consultancy Services (TCS),6-11 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Greetings from TCS !!!TCS presents an excellent opportunityJob DescriptionRole - Full S...,Fullstack Development,.Net ASP.Net full stack development stack,12 Days Ago,2023-03-05
192,Java Full Stack Developer - TATA Consultancy Services,Tata Consultancy Services (TCS),2-7 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas), Pan India"," Required Skill Set: Java / J2EE, Oracle, SQL, Javascript, AngularJS, HTML5, CSS3, RestA...",java,spring full stack angular development bootstrap spring boot consultancy services,12 Days Ago,2023-03-05
193,AWS Full Stack Developer,EY,4-6 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," AWS Certifications preferredShould have excellent knowledge of Windows, Linux, & AWS Ar...",python,Shell Scripting AWS Aws Rds Oracle Appdynamics full stack gateways api,2 Days Ago,2023-03-05
194,Full time Opportunity For BMC Remedy Admin OR Developer,NTT DATA Business Solutions Private Limited,3-8 Yrs,Not disclosed,"Hybrid - Noida, Visakhapatnam, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru", Roles and Responsibilities - we need BMC Remedy Admin/ Developer Rotational shift,Bmc Remedy Administration,time chat smart perforce administration chatbot remedy,17 Days Ago,2023-03-05
195,Urgently looking For Immediate Joiner -Windows VM ware Administrator,Hexaware Technologies,4-9 Yrs,Not disclosed,"Temp. WFH - Navi Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Roles and Responsibilities Prioritize, align and schedule OS and other infrastructure c...",Powershell,vmware Troubleshooting rpa blue prism vsphere vm uipath,1 Day Ago,2023-03-05
196,Urgent Hiring with Tech Mahindra- Java Full Stack Developer,Tech Mahindra,7-11 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Roles and Responsibilities • Development Experience in Java Full Stack Must • Strong ex...,spring boot,boot spring full stack spring mvc node.js angular technical analysis,1 Day Ago,2023-03-05
197,Java Full Stack Developer,Tata Consultancy Services (TCS),2-3 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR", Required Technical Skill Set : . . 3-7 years Experience in the Software Industry Role- ...,java,java fullstack full stack stack development,5 Days Ago,2023-03-05
198,Senior .Net Full Stack Developer,Baker Hughes,9-11 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"," Preparing development software, codes software and designs specific enhancements etc. ....",asp,full stack mongodb .net development appliances html senior,8 Days Ago,2023-03-05
199,Full Stack Developer,Baker Hughes,5-7 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", Have a minimum bachelor s degree in Engineering (BE / B Tech) with a focus on CS and So...,management,mysql cassandra full stack mongodb development agile asset management,8 Days Ago,2023-03-05
200,A Perfect Search For DBA Oracle/SQL IN A Great MNC !!!!,Job Seeks 4u Consultancy Services,2-5 Yrs,2-6 Lacs PA,"Temp. WFH - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Skill set : DBA ( ORACLE / SQL) Experience : MIN 2YRS Salary : Upto 6 LPA Location : PA...,Oracle DBA,Dba Skills SQL DBA sql database sql server dba serv oracle database administration,1 Day Ago,2023-03-05
